import time: self [us] | cumulative | imported package
import time:       483 |        483 |   telegram.ext._handlers.chatboosthandler
import time:       451 |        451 |   telegram.ext._handlers.chatjoinrequesthandler
import time:       437 |        437 |   telegram.ext._handlers.chatmemberhandler
import time:       416 |        416 |   telegram.ext._handlers.choseninlineresulthandler
import time:       500 |        500 |   telegram.ext._handlers.commandhandler
import time:       433 |        433 |     telegram.ext._handlers.inlinequeryhandler
import time:       379 |        379 |     telegram.ext._handlers.stringcommandhandler
import time:       377 |        377 |     telegram.ext._handlers.stringregexhandler
import time:       402 |        402 |     telegram.ext._handlers.typehandler
import time:      1141 |       2729 |   telegram.ext._handlers.conversationhandler
import time:       459 |        459 |   telegram.ext._handlers.messagehandler
import time:       402 |        402 |   telegram.ext._handlers.messagereactionhandler
import time:       364 |        364 |   telegram.ext._handlers.paidmediapurchasedhandler
import time:       325 |        325 |   telegram.ext._handlers.pollanswerhandler
import time:       319 |        319 |   telegram.ext._handlers.pollhandler
import time:       369 |        369 |   telegram.ext._handlers.precheckoutqueryhandler
import time:       457 |        457 |   telegram.ext._handlers.prefixhandler
import time:       350 |        350 |   telegram.ext._handlers.shippingqueryhandler
import time:       512 |        512 |   telegram.ext._picklepersistence
import time:       690 |     317728 | telegram.ext
import time:      2042 |       2042 |       dotenv.parser
import time:       554 |        554 |       dotenv.variables
import time:       757 |       3352 |     dotenv.main
import time:       507 |       3859 |   dotenv
import time:       400 |        400 |   encodings.unicode_escape
import time:      3745 |       8003 | config
import time:       444 |        444 |   infra
import time:      9574 |       9574 |       _sqlite3
import time:       553 |      10127 |     sqlite3.dbapi2
import time:       423 |      10549 |   sqlite3
import time:       847 |      11839 | infra.journal_repo
import time:       756 |        756 |     domain
import time:       470 |        470 |           numpy._utils._convertions
import time:       558 |       1027 |         numpy._utils
import time:       641 |       1668 |       numpy._globals
import time:       396 |        396 |       numpy.exceptions
import time:       295 |        295 |       numpy.version
import time:        60 |         60 |         numpy._distributor_init_local
import time:       298 |        358 |       numpy._distributor_init
import time:       325 |        325 |                 numpy._utils._inspect
import time:       714 |        714 |                   numpy.core._exceptions
import time:       575 |        575 |                   numpy.dtypes
import time:      3153 |       4441 |                 numpy.core._multiarray_umath
import time:       580 |       5345 |               numpy.core.overrides
import time:       872 |       6216 |             numpy.core.multiarray
import time:       407 |        407 |             numpy.core.umath
import time:       361 |        361 |               numpy.core._string_helpers
import time:       364 |        364 |                     pickle5
import time:       553 |        917 |                   numpy.compat.py3k
import time:       364 |       1280 |                 numpy.compat
import time:       454 |        454 |                 numpy.core._dtype
import time:       520 |       2254 |               numpy.core._type_aliases
import time:       700 |       3314 |             numpy.core.numerictypes
import time:       467 |        467 |                     numpy.core._ufunc_config
import time:       395 |        861 |                   numpy.core._methods
import time:       778 |       1638 |                 numpy.core.fromnumeric
import time:       443 |       2081 |               numpy.core.shape_base
import time:       692 |        692 |               numpy.core.arrayprint
import time:       322 |        322 |               numpy.core._asarray
import time:       808 |       3902 |             numpy.core.numeric
import time:       779 |        779 |             numpy.core.defchararray
import time:       444 |        444 |             numpy.core.records
import time:       368 |        368 |             numpy.core.memmap
import time:       375 |        375 |             numpy.core.function_base
import time:       323 |        323 |             numpy.core._machar
import time:       432 |        432 |             numpy.core.getlimits
import time:       444 |        444 |             numpy.core.einsumfunc
import time:       447 |        447 |               numpy.core._multiarray_tests
import time:      1338 |       1785 |             numpy.core._add_newdocs
import time:       547 |        547 |             numpy.core._add_newdocs_scalars
import time:       314 |        314 |             numpy.core._dtype_ctypes
import time:       649 |        649 |             numpy.core._internal
import time:       355 |        355 |             numpy._pytesttester
import time:       813 |      21460 |           numpy.core
import time:        17 |      21476 |         numpy.core._multiarray_umath
import time:       447 |      21923 |       numpy.__config__
import time:       581 |        581 |         numpy.lib.mixins
import time:       421 |        421 |             numpy.lib.ufunclike
import time:       603 |       1024 |           numpy.lib.type_check
import time:       429 |       1452 |         numpy.lib.scimath
import time:       447 |        447 |                     numpy.lib.stride_tricks
import time:       526 |        973 |                   numpy.lib.twodim_base
import time:       512 |        512 |                   numpy.linalg._umath_linalg
import time:       542 |        542 |                     numpy._typing._nested_sequence
import time:       274 |        274 |                     numpy._typing._nbit
import time:       697 |        697 |                     numpy._typing._char_codes
import time:       414 |        414 |                     numpy._typing._scalars
import time:       311 |        311 |                     numpy._typing._shape
import time:       968 |        968 |                     numpy._typing._dtype_like
import time:      1620 |       1620 |                     numpy._typing._array_like
import time:       569 |       5391 |                   numpy._typing
import time:      1469 |       8343 |                 numpy.linalg.linalg
import time:       501 |       8843 |               numpy.linalg
import time:       562 |       9405 |             numpy.matrixlib.defmatrix
import time:       465 |       9869 |           numpy.matrixlib
import time:       560 |        560 |             numpy.lib.histograms
import time:      1396 |       1956 |           numpy.lib.function_base
import time:       720 |      12544 |         numpy.lib.index_tricks
import time:       631 |        631 |         numpy.lib.nanfunctions
import time:       814 |        814 |         numpy.lib.shape_base
import time:      1139 |       1139 |         numpy.lib.polynomial
import time:      1026 |       1026 |         numpy.lib.utils
import time:       527 |        527 |         numpy.lib.arraysetops
import time:       450 |        450 |           numpy.lib.format
import time:       437 |        437 |           numpy.lib._datasource
import time:       495 |        495 |           numpy.lib._iotools
import time:       784 |       2165 |         numpy.lib.npyio
import time:       400 |        400 |         numpy.lib.arrayterator
import time:       707 |        707 |         numpy.lib.arraypad
import time:       396 |        396 |         numpy.lib._version
import time:       668 |      23046 |       numpy.lib
import time:       428 |        428 |           numpy.fft._pocketfft_internal
import time:       655 |       1083 |         numpy.fft._pocketfft
import time:       370 |        370 |         numpy.fft.helper
import time:       416 |       1868 |       numpy.fft
import time:       451 |        451 |           numpy.polynomial.polyutils
import time:       546 |        546 |           numpy.polynomial._polybase
import time:       646 |       1642 |         numpy.polynomial.polynomial
import time:       518 |        518 |         numpy.polynomial.chebyshev
import time:       458 |        458 |         numpy.polynomial.legendre
import time:       452 |        452 |         numpy.polynomial.hermite
import time:       483 |        483 |         numpy.polynomial.hermite_e
import time:       482 |        482 |         numpy.polynomial.laguerre
import time:       434 |       4466 |       numpy.polynomial
import time:       362 |        362 |                 backports_abc
import time:       674 |       1035 |               numpy.random._common
import time:       519 |        519 |                 hmac
import time:       417 |        936 |               secrets
import time:       732 |       2703 |             numpy.random.bit_generator
import time:       436 |        436 |             numpy.random._bounded_integers
import time:       569 |        569 |             numpy.random._mt19937
import time:       879 |       4586 |           numpy.random.mtrand
import time:       415 |        415 |           numpy.random._philox
import time:       431 |        431 |           numpy.random._pcg64
import time:       352 |        352 |           numpy.random._sfc64
import time:       670 |        670 |           numpy.random._generator
import time:       620 |       7071 |         numpy.random._pickle
import time:       412 |       7482 |       numpy.random
import time:       525 |        525 |       numpy.ctypeslib
import time:      2679 |       2679 |         numpy.ma.core
import time:       964 |        964 |         numpy.ma.extras
import time:       448 |       4089 |       numpy.ma
import time:      1507 |      67618 |     numpy
import time:       475 |        475 |         dateutil._version
import time:       559 |       1034 |       dateutil
import time:       473 |        473 |         pandas.compat._constants
import time:       353 |        353 |         pandas.compat.compressors
import time:       328 |        328 |             pandas.util
import time:      1795 |       2123 |           pandas.util.version
import time:       404 |       2527 |         pandas.compat.numpy
import time:        55 |         55 |             gc
import time:       745 |        745 |             pyarrow._generated_version
import time:       394 |        394 |               backports_abc
import time:       413 |        413 |                 numpy._core
import time:       523 |        936 |               numpy._core._multiarray_umath
import time:       328 |        328 |               cloudpickle
import time:       354 |        354 |               pyarrow.util
import time:      7525 |       9534 |             pyarrow.lib
import time:       458 |        458 |             pyarrow.ipc
import time:       614 |        614 |             pyarrow.types
import time:      1067 |      12470 |           pyarrow
import time:       461 |      12931 |         pandas.compat.pyarrow
import time:       628 |      16910 |       pandas.compat
import time:      2129 |       2129 |           pandas._typing
import time:       416 |        416 |           pandas.util._exceptions
import time:      1276 |       3820 |         pandas._config.config
import time:       491 |        491 |         pandas._config.dates
import time:       387 |        387 |         pandas._config.display
import time:       461 |       5159 |       pandas._config
import time:       407 |        407 |         pandas.core
import time:      1142 |       1548 |       pandas.core.config_init
import time:       694 |        694 |           pandas._libs.pandas_parser
import time:       352 |        352 |           pandas._libs.pandas_datetime
import time:       357 |        357 |                       pandas._libs.tslibs.ccalendar
import time:       446 |        446 |                       pandas._libs.tslibs.np_datetime
import time:      1048 |       1850 |                     pandas._libs.tslibs.dtypes
import time:       340 |        340 |                       pandas._libs.tslibs.base
import time:       596 |        596 |                           pandas._libs.tslibs.nattype
import time:       358 |        358 |                               pandas.compat._optional
import time:       953 |        953 |                                   six
import time:        29 |         29 |                                   six.moves
import time:       413 |        413 |                                   dateutil.tz._common
import time:       336 |        336 |                                   dateutil.tz._factories
import time:       450 |        450 |                                   dateutil.tz.win
import time:       859 |       3037 |                                 dateutil.tz.tz
import time:       358 |       3395 |                               dateutil.tz
import time:      1261 |       5013 |                             pandas._libs.tslibs.timezones
import time:       880 |        880 |                               _strptime
import time:       354 |        354 |                               pandas._config.localization
import time:       539 |       1772 |                             pandas._libs.tslibs.fields
import time:       728 |       7512 |                           pandas._libs.tslibs.timedeltas
import time:       478 |        478 |                           pandas._libs.tslibs.tzconversion
import time:       727 |       9311 |                         pandas._libs.tslibs.timestamps
import time:       352 |        352 |                         pandas._libs.properties
import time:      1137 |      10799 |                       pandas._libs.tslibs.offsets
import time:       282 |        282 |                             dateutil._common
import time:      1258 |       1540 |                           dateutil.parser._parser
import time:       449 |        449 |                           dateutil.parser.isoparser
import time:       429 |       2417 |                         dateutil.parser
import time:       721 |        721 |                         pandas._libs.tslibs.strptime
import time:       631 |       3768 |                       pandas._libs.tslibs.parsing
import time:       510 |      15417 |                     pandas._libs.tslibs.conversion
import time:       624 |        624 |                     pandas._libs.tslibs.period
import time:       469 |        469 |                     pandas._libs.tslibs.vectorized
import time:       424 |      18782 |                   pandas._libs.tslibs
import time:        19 |      18801 |                 pandas._libs.tslibs.nattype
import time:       343 |        343 |                 pandas._libs.ops_dispatch
import time:       537 |      19680 |               pandas._libs.missing
import time:      1674 |      21354 |             pandas._libs.hashtable
import time:       777 |        777 |             pandas._libs.algos
import time:       805 |      22935 |           pandas._libs.interval
import time:       393 |      24373 |         pandas._libs
import time:      2364 |       2364 |           pandas.core.dtypes
import time:       799 |        799 |           pandas._libs.lib
import time:       779 |        779 |           pandas.errors
import time:       984 |        984 |             pandas.core.dtypes.generic
import time:       466 |       1450 |           pandas.core.dtypes.base
import time:       363 |        363 |           pandas.core.dtypes.inference
import time:      1339 |       7092 |         pandas.core.dtypes.dtypes
import time:       480 |        480 |           pandas.core.dtypes.common
import time:       433 |        913 |         pandas.core.dtypes.missing
import time:       395 |        395 |           pandas.util._decorators
import time:       355 |        355 |               pandas.io
import time:       556 |        911 |             pandas.io._util
import time:       541 |       1452 |           pandas.core.dtypes.cast
import time:       319 |        319 |             pandas.core.dtypes.astype
import time:       351 |        670 |           pandas.core.dtypes.concat
import time:       312 |        312 |             pandas.core.array_algos
import time:       385 |        385 |               pandas.core.common
import time:       406 |        791 |             pandas.core.construction
import time:       574 |       1676 |           pandas.core.array_algos.take
import time:       535 |        535 |             pandas.core.indexers.utils
import time:       334 |        869 |           pandas.core.indexers
import time:       802 |       5861 |         pandas.core.algorithms
import time:      3744 |       3744 |                 pyarrow._compute
import time:       388 |        388 |                 pyarrow._compute_docstrings
import time:       335 |        335 |                 pyarrow.vendored
import time:       728 |        728 |                     pkgutil
import time:      1160 |       1888 |                   pydoc
import time:      1270 |       3157 |                 pyarrow.vendored.docscrape
import time:     17535 |      25156 |               pyarrow.compute
import time:       654 |      25809 |             pandas.core.arrays.arrow.accessors
import time:       492 |        492 |               pandas.util._validators
import time:       588 |        588 |               pandas.core.missing
import time:       541 |        541 |                   pandas._libs.ops
import time:       347 |        347 |                   pandas.core.roperator
import time:       338 |        338 |                   pandas.core.computation
import time:       615 |        615 |                     pandas.core.computation.check
import time:       528 |       1142 |                   pandas.core.computation.expressions
import time:       327 |        327 |                   pandas.core.ops.missing
import time:       308 |        308 |                   pandas.core.ops.dispatch
import time:       271 |        271 |                   pandas.core.ops.invalid
import time:       648 |       3919 |                 pandas.core.ops.array_ops
import time:       299 |        299 |                 pandas.core.ops.common
import time:       334 |        334 |                 pandas.core.ops.docstrings
import time:       292 |        292 |                 pandas.core.ops.mask_ops
import time:       419 |       5260 |               pandas.core.ops
import time:       688 |        688 |               pandas.core.arraylike
import time:       471 |        471 |               pandas.core.arrays._arrow_string_mixins
import time:       315 |        315 |               pandas.core.arrays._utils
import time:       700 |        700 |                 pandas.compat.numpy.function
import time:       334 |        334 |                 pandas.core.array_algos.quantile
import time:       417 |        417 |                 pandas.core.sorting
import time:       794 |       2245 |               pandas.core.arrays.base
import time:      1121 |       1121 |                 pandas.core.nanops
import time:       358 |        358 |                 pandas.core.array_algos.masked_accumulations
import time:       320 |        320 |                 pandas.core.array_algos.masked_reductions
import time:       340 |        340 |                   pandas.core.util
import time:       557 |        557 |                   pandas._libs.hashing
import time:       515 |       1410 |                 pandas.core.util.hashing
import time:       987 |       4195 |               pandas.core.arrays.masked
import time:       432 |        432 |                 pandas._libs.arrays
import time:       401 |        401 |                   pandas.core.arrays.numeric
import time:       382 |        783 |                 pandas.core.arrays.floating
import time:       496 |        496 |                 pandas.core.arrays.integer
import time:       366 |        366 |                     pandas.core.array_algos.transforms
import time:       631 |        996 |                   pandas.core.arrays._mixins
import time:       404 |        404 |                     pandas.core.strings
import time:       486 |        486 |                     pandas.core.strings.base
import time:       754 |       1643 |                   pandas.core.strings.object_array
import time:       486 |       3124 |                 pandas.core.arrays.numpy_
import time:       425 |        425 |                 pandas.io.formats
import time:       338 |        338 |                   pandas.io.formats.console
import time:       739 |       1076 |                 pandas.io.formats.printing
import time:       730 |       7063 |               pandas.core.arrays.string_
import time:       439 |        439 |                 pandas.tseries
import time:       730 |       1169 |               pandas.tseries.frequencies
import time:      2794 |      25276 |             pandas.core.arrays.arrow.array
import time:       636 |      51720 |           pandas.core.arrays.arrow
import time:       653 |        653 |           pandas.core.arrays.boolean
import time:       563 |        563 |             pandas.core.accessor
import time:       679 |        679 |             pandas.core.base
import time:      1514 |       2755 |           pandas.core.arrays.categorical
import time:       613 |        613 |             pandas._libs.tslib
import time:       436 |        436 |               pandas.core.array_algos.datetimelike_accumulations
import time:      1117 |       1552 |             pandas.core.arrays.datetimelike
import time:       353 |        353 |             pandas.core.arrays._ranges
import time:       310 |        310 |             pandas.tseries.offsets
import time:       733 |       3559 |           pandas.core.arrays.datetimes
import time:       583 |        583 |             pandas.core.arrays.timedeltas
import time:      1147 |       1729 |           pandas.core.arrays.interval
import time:       777 |        777 |           pandas.core.arrays.period
import time:       608 |        608 |                 pandas._libs.sparse
import time:       615 |       1223 |               pandas.core.arrays.sparse.array
import time:       527 |       1750 |             pandas.core.arrays.sparse.accessor
import time:       361 |       2110 |           pandas.core.arrays.sparse
import time:       539 |        539 |           pandas.core.arrays.string_arrow
import time:       451 |      64291 |         pandas.core.arrays
import time:       335 |        335 |         pandas.core.flags
import time:       583 |        583 |               pandas._libs.internals
import time:       350 |        350 |                 pandas.core._numba
import time:       633 |        983 |               pandas.core._numba.executor
import time:       767 |       2333 |             pandas.core.apply
import time:       398 |        398 |                   pandas._libs.indexing
import time:       365 |        365 |                     pandas.core.indexes
import time:      1199 |       1199 |                       pandas._libs.index
import time:       466 |        466 |                       pandas._libs.writers
import time:       571 |        571 |                       pandas._libs.join
import time:       351 |        351 |                       pandas.core.array_algos.putmask
import time:       326 |        326 |                       pandas.core.indexes.frozen
import time:      1727 |       1727 |                       pandas.core.strings.accessor
import time:      1564 |       6201 |                     pandas.core.indexes.base
import time:       407 |        407 |                       pandas.core.indexes.extension
import time:       497 |        904 |                     pandas.core.indexes.category
import time:       701 |        701 |                         pandas.core.indexes.range
import time:       377 |        377 |                           pandas.core.tools
import time:       488 |        865 |                         pandas.core.tools.timedeltas
import time:       763 |       2327 |                       pandas.core.indexes.datetimelike
import time:       332 |        332 |                       pandas.core.tools.times
import time:       887 |       3546 |                     pandas.core.indexes.datetimes
import time:      1115 |       1115 |                       pandas.core.indexes.multi
import time:       421 |        421 |                       pandas.core.indexes.timedeltas
import time:      1807 |       3342 |                     pandas.core.indexes.interval
import time:       630 |        630 |                     pandas.core.indexes.period
import time:       706 |      15690 |                   pandas.core.indexes.api
import time:      1208 |      17295 |                 pandas.core.indexing
import time:       394 |        394 |                 pandas.core.sample
import time:       365 |        365 |                 pandas.core.array_algos.replace
import time:       926 |        926 |                     pandas.core.internals.blocks
import time:       565 |       1490 |                   pandas.core.internals.api
import time:       533 |        533 |                     pandas.core.internals.base
import time:       609 |        609 |                       pandas.core.internals.ops
import time:       718 |       1326 |                     pandas.core.internals.managers
import time:       691 |       2550 |                   pandas.core.internals.array_manager
import time:       488 |        488 |                   pandas.core.internals.concat
import time:       422 |       4949 |                 pandas.core.internals
import time:       465 |        465 |                 pandas.core.internals.construction
import time:       372 |        372 |                   pandas.core.methods
import time:       421 |        421 |                     pandas.core.reshape
import time:       727 |       1147 |                   pandas.core.reshape.concat
import time:       615 |        615 |                       gzip
import time:       420 |        420 |                         pwd
import time:       312 |        312 |                         grp
import time:      1177 |       1908 |                       tarfile
import time:       370 |        370 |                       pandas.core.shared_docs
import time:      1868 |       4760 |                     pandas.io.common
import time:       775 |       5534 |                   pandas.io.formats.format
import time:      1066 |       8118 |                 pandas.core.methods.describe
import time:       364 |        364 |                       pandas._libs.window
import time:      1133 |       1496 |                     pandas._libs.window.aggregations
import time:       451 |        451 |                       pandas._libs.window.indexers
import time:       595 |       1046 |                     pandas.core.indexers.objects
import time:       372 |        372 |                     pandas.core.util.numba_
import time:       340 |        340 |                     pandas.core.window.common
import time:       364 |        364 |                     pandas.core.window.doc
import time:       353 |        353 |                     pandas.core.window.numba_
import time:       317 |        317 |                     pandas.core.window.online
import time:      1632 |       1632 |                     pandas.core.window.rolling
import time:       998 |       6914 |                   pandas.core.window.ewm
import time:      1017 |       1017 |                   pandas.core.window.expanding
import time:       466 |       8396 |                 pandas.core.window
import time:      4735 |      44714 |               pandas.core.generic
import time:       691 |        691 |               pandas.core.methods.selectn
import time:       464 |        464 |                 pandas.core.reshape.util
import time:       484 |        484 |                 pandas.core.tools.numeric
import time:       661 |       1608 |               pandas.core.reshape.melt
import time:       604 |        604 |                 pandas._libs.reshape
import time:       805 |        805 |                 pandas.core.indexes.accessors
import time:       401 |        401 |                   pandas.arrays
import time:       802 |       1202 |                 pandas.core.tools.datetimes
import time:       973 |        973 |                 pandas.io.formats.info
import time:      1191 |       1191 |                   pandas.plotting._core
import time:       423 |        423 |                   pandas.plotting._misc
import time:       434 |       2048 |                 pandas.plotting
import time:      3088 |       8718 |               pandas.core.series
import time:      5503 |      61233 |             pandas.core.frame
import time:      1004 |       1004 |             pandas.core.groupby.base
import time:       957 |        957 |               pandas._libs.groupby
import time:       349 |        349 |                 pandas.core.groupby.categorical
import time:       622 |        970 |               pandas.core.groupby.grouper
import time:       741 |       2667 |             pandas.core.groupby.ops
import time:       402 |        402 |               pandas.core.groupby.numba_
import time:       458 |        458 |               pandas.core.groupby.indexing
import time:      2558 |       3417 |             pandas.core.groupby.groupby
import time:      1698 |      72350 |           pandas.core.groupby.generic
import time:       339 |      72689 |         pandas.core.groupby
import time:       439 |     175989 |       pandas.core.api
import time:       362 |        362 |       pandas.tseries.api
import time:       276 |        276 |               pandas.core.computation.common
import time:       326 |        602 |             pandas.core.computation.align
import time:       710 |        710 |                 pprint
import time:       401 |       1110 |               pandas.core.computation.scope
import time:       441 |       1551 |             pandas.core.computation.ops
import time:       349 |       2501 |           pandas.core.computation.engines
import time:       334 |        334 |             pandas.core.computation.parsing
import time:       956 |       1290 |           pandas.core.computation.expr
import time:       368 |       4158 |         pandas.core.computation.eval
import time:       302 |       4459 |       pandas.core.computation.api
import time:       352 |        352 |         pandas.core.reshape.encoding
import time:       827 |        827 |         pandas.core.reshape.merge
import time:       761 |        761 |         pandas.core.reshape.pivot
import time:       388 |        388 |         pandas.core.reshape.tile
import time:       379 |       2706 |       pandas.core.reshape.api
import time:       539 |        539 |         pandas.api.extensions
import time:       420 |        420 |         pandas.api.indexers
import time:       290 |        290 |             pandas.core.interchange
import time:      1319 |       1609 |           pandas.core.interchange.dataframe_protocol
import time:       366 |        366 |             pandas.core.interchange.utils
import time:       462 |        827 |           pandas.core.interchange.from_dataframe
import time:       330 |       2765 |         pandas.api.interchange
import time:       294 |        294 |           pandas.core.dtypes.api
import time:       344 |        637 |         pandas.api.types
import time:      1280 |       1280 |           pandas.core.resample
import time:       421 |        421 |                 pandas._libs.json
import time:       379 |        379 |                 pandas.io.json._normalize
import time:       347 |        347 |                 pandas.io.json._table_schema
import time:       735 |        735 |                       pandas._libs.parsers
import time:       612 |        612 |                         pandas.io.parsers.base_parser
import time:       414 |       1025 |                       pandas.io.parsers.arrow_parser_wrapper
import time:       401 |        401 |                       pandas.io.parsers.c_parser_wrapper
import time:       552 |        552 |                       pandas.io.parsers.python_parser
import time:      1594 |       4305 |                     pandas.io.parsers.readers
import time:       348 |       4653 |                   pandas.io.parsers
import time:        17 |       4670 |                 pandas.io.parsers.readers
import time:      1013 |       6829 |               pandas.io.json._json
import time:       374 |       7202 |             pandas.io.json
import time:        17 |       7219 |           pandas.io.json._json
import time:      1319 |       1319 |           pandas.io.stata
import time:       383 |      10199 |         pandas.api.typing
import time:       387 |      14945 |       pandas.api
import time:       340 |        340 |             pandas._testing.contexts
import time:       478 |        817 |           pandas._testing._io
import time:       312 |        312 |           pandas._testing._warnings
import time:        44 |         44 |               cmath
import time:       419 |        463 |             pandas._libs.testing
import time:       492 |        954 |           pandas._testing.asserters
import time:       409 |        409 |           pandas._testing.compat
import time:       669 |       3160 |         pandas._testing
import time:       353 |       3512 |       pandas.testing
import time:       416 |        416 |       pandas.util._print_versions
import time:       333 |        333 |         pandas.io.clipboards
import time:       360 |        360 |             pandas.io.excel._util
import time:       569 |        569 |             pandas.io.excel._calamine
import time:       428 |        428 |             pandas.io.excel._odfreader
import time:       502 |        502 |             pandas.io.excel._openpyxl
import time:       396 |        396 |             pandas.io.excel._pyxlsb
import time:       390 |        390 |             pandas.io.excel._xlrd
import time:      1427 |       4069 |           pandas.io.excel._base
import time:       402 |        402 |           pandas.io.excel._odswriter
import time:       395 |        395 |           pandas.io.excel._xlsxwriter
import time:       365 |       5229 |         pandas.io.excel
import time:       388 |        388 |         pandas.io.feather_format
import time:       306 |        306 |         pandas.io.gbq
import time:      1307 |       1307 |         pandas.io.html
import time:       353 |        353 |         pandas.io.orc
import time:       583 |        583 |         pandas.io.parquet
import time:       374 |        374 |           pandas.compat.pickle_compat
import time:       432 |        806 |         pandas.io.pickle
import time:       653 |        653 |           pandas.core.computation.pytables
import time:      1462 |       2114 |         pandas.io.pytables
import time:       566 |        566 |           pandas.io.sas.sasreader
import time:       378 |        943 |         pandas.io.sas
import time:       307 |        307 |         pandas.io.spss
import time:       801 |        801 |         pandas.io.sql
import time:       844 |        844 |         pandas.io.xml
import time:       455 |      14763 |       pandas.io.api
import time:       361 |        361 |       pandas.util._tester
import time:       288 |        288 |       pandas._version_meson
import time:       851 |     243296 |     pandas
import time:       549 |     312217 |   domain.candle_stats
import time:       874 |        874 |     MetaTrader5._core
import time:       576 |       1449 |   MetaTrader5
import time:       773 |        773 |   infra.mt5_service
import time:       373 |        373 |   infra.indicator_bridge
import time:       321 |        321 |     utils
import time:        19 |        339 |   utils.market_regime
import time:      1543 |     316692 | infra.position_watcher
import time:       337 |        337 | infra.scheduler
import time:       784 |        784 | infra.virt_pendings
import time:       690 |        690 | infra.circuit_breaker
[HB] alive t=0s
[INFO] __main__: Logging configured at DEBUG
import time:       466 |        466 |   handlers
import time:       487 |        953 | handlers.errors
import time:       295 |        295 | handlers.circuit
import time:       487 |        487 |     domain.rules
import time:       450 |        450 |     domain.candles
import time:       318 |        318 |       infra.risk_simulation
import time:       518 |        835 |     infra.openai_service
import time:       921 |        921 |             difflib
import time:       469 |        469 |               cmd
import time:       517 |        517 |               bdb
import time:       572 |        572 |                 codeop
import time:       453 |       1024 |               code
import time:       567 |        567 |               glob
import time:       917 |       3491 |             pdb
import time:       405 |        405 |                 unittest.util
import time:       561 |        965 |               unittest.result
import time:      1203 |       1203 |               unittest.case
import time:       441 |        441 |               unittest.suite
import time:       657 |        657 |               unittest.loader
import time:     19387 |      19387 |                 argparse
import time:       351 |        351 |                   unittest.signals
import time:       551 |        902 |                 unittest.runner
import time:       426 |      20715 |               unittest.main
import time:       534 |      24513 |             unittest
import time:      1664 |      30587 |           doctest
import time:       814 |      31401 |         pyrect
import time:       811 |        811 |         pygetwindow._pygetwindow_win
import time:       792 |      33002 |       pygetwindow
import time:       608 |        608 |         pytweening
import time:      4940 |       4940 |             _tkinter
import time:       516 |        516 |             tkinter.constants
import time:      1972 |       7428 |           tkinter
import time:       542 |        542 |           pymsgbox._native_win
import time:       581 |       8551 |         pymsgbox
import time:       581 |        581 |             PIL._version
import time:       554 |       1135 |           PIL
import time:      2609 |       2609 |             PIL.ExifTags
import time:       288 |        288 |               PIL._deprecate
import time:       561 |        849 |             PIL.ImageMode
import time:       890 |        890 |             PIL.TiffTags
import time:       341 |        341 |             PIL._binary
import time:       380 |        380 |               PIL._typing
import time:       297 |        676 |             PIL._util
import time:       336 |        336 |             defusedxml
import time:       766 |        766 |             PIL._imaging
import time:      1589 |       8053 |           PIL.Image
import time:       319 |        319 |               PIL.GimpGradientFile
import time:       303 |        303 |               PIL.GimpPaletteFile
import time:       342 |        342 |               PIL.ImageColor
import time:       287 |        287 |               PIL.PaletteFile
import time:       403 |       1651 |             PIL.ImagePalette
import time:       482 |       2133 |           PIL.ImageOps
import time:       663 |        663 |           PIL.ImageDraw
import time:       351 |        351 |           PIL.ImageGrab
import time:       319 |        319 |           cv2
import time:      1365 |      14015 |         pyscreeze
import time:       662 |        662 |           pyperclip
import time:       971 |        971 |             shlex
import time:       591 |       1561 |           webbrowser
import time:       392 |        392 |           ctypes.util
import time:      1086 |       1086 |           tkinter.ttk
import time:     22852 |      26551 |         mouseinfo
import time:       975 |        975 |         pyautogui._pyautogui_win
import time:      2057 |      52754 |       pyautogui
import time:       724 |      86479 |     infra.chart_arranger
import time:       385 |        385 |     infra.formatting
import time:       343 |        343 |     infra.threshold_tuner
import time:       325 |        325 |     infra.strategy_selector
import time:       416 |        416 |     infra.memory_store
import time:       731 |        731 |       infra.exposure_guard
import time:       687 |        687 |       infra.news_service
import time:       367 |       1784 |     infra.guardrails
import time:       354 |        354 |     infra.confidence_calibrator
import time:       289 |        289 |     infra.postmortem
import time:       599 |        599 |       infra.price_utils
import time:       410 |        410 |       domain.levels
import time:       698 |        698 |       domain.patterns
import time:       346 |        346 |       domain.confluence
import time:       937 |       2989 |     decision_engine
import time:       500 |        500 |         app
import time:       323 |        823 |       app.engine
import time:       447 |       1270 |     app.engine.risk_model
[INFO] app.engine.strategy_logic: strategy_logic imported as app.engine.strategy_logic, eff=DEBUG
import time:       379 |        379 |       domain.market_structure
import time:      9148 |       9527 |     app.engine.strategy_logic
[INFO] handlers.trading: handlers.trading imported, eff=DEBUG
import time:       380 |        380 |           docx.opc
import time:       640 |       1020 |         docx.opc.constants
import time:       374 |        374 |                 docx.image.constants
import time:       299 |        299 |                   docx.image.exceptions
import time:       351 |        650 |                 docx.image.helpers
import time:       589 |        589 |                   docx.shared
import time:       386 |        975 |                 docx.image.image
import time:       518 |       2515 |               docx.image.bmp
import time:       349 |        349 |               docx.image.gif
import time:       431 |        431 |                 docx.image.tiff
import time:       579 |       1009 |               docx.image.jpeg
import time:       451 |        451 |               docx.image.png
import time:       393 |       4716 |             docx.image
import time:        20 |       4735 |           docx.image.image
