import time: self [us] | cumulative | imported package
import time:       443 |      12114 |       telegram._telegramobject
import time:       447 |      13659 |     telegram._payment.stars.staramount
import time:       365 |        365 |         telegram._linkpreviewoptions
import time:       526 |        891 |       telegram._utils.argumentparsing
import time:       490 |        490 |           telegram._utils.enum
import time:      7076 |       7565 |         telegram.constants
import time:      1017 |       1017 |             html.entities
import time:       617 |       1633 |           html
import time:       442 |        442 |           telegram._chatpermissions
import time:       391 |        391 |           telegram._forumtopic
import time:       276 |        276 |             telegram._webappinfo
import time:       371 |        646 |           telegram._menubutton
import time:       441 |        441 |           telegram._reaction
import time:       381 |        381 |           telegram.helpers
import time:      1544 |       5476 |         telegram._chat
import time:       364 |        364 |             telegram._files
import time:       328 |        328 |               telegram._files._basemedium
import time:       419 |        419 |               telegram._files.photosize
import time:       362 |       1108 |             telegram._files._basethumbedmedium
import time:       391 |        391 |                 telegram._passport
import time:       596 |        596 |                       cryptography.utils
import time:       280 |        280 |                       cryptography.__about__
import time:       540 |       1414 |                     cryptography
import time:       298 |       1712 |                   cryptography.hazmat
import time:       470 |       2181 |                 cryptography.hazmat.backends
import time:       325 |        325 |                     cryptography.hazmat.primitives
import time:       465 |        789 |                   cryptography.hazmat.primitives.asymmetric
import time:       319 |        319 |                       cryptography.hazmat.bindings
import time:       898 |        898 |                       _cffi_backend
import time:      2047 |       3264 |                     cryptography.hazmat.bindings._rust
import time:      1076 |       4340 |                   cryptography.hazmat.primitives.hashes
import time:       355 |        355 |                   cryptography.hazmat.primitives._asymmetric
import time:       826 |        826 |                     cryptography.hazmat.primitives._serialization
import time:       361 |        361 |                     cryptography.hazmat.primitives.asymmetric.utils
import time:       435 |       1621 |                   cryptography.hazmat.primitives.asymmetric.rsa
import time:       528 |       7630 |                 cryptography.hazmat.primitives.asymmetric.padding
import time:       332 |        332 |                   cryptography.hazmat.primitives._cipheralgorithm
import time:       323 |        323 |                       cryptography.exceptions
import time:       300 |        300 |                             cryptography.hazmat.decrepit
import time:       463 |        762 |                           cryptography.hazmat.decrepit.ciphers
import time:       519 |       1281 |                         cryptography.hazmat.decrepit.ciphers.algorithms
import time:       368 |       1648 |                       cryptography.hazmat.primitives.ciphers.algorithms
import time:       507 |       2477 |                     cryptography.hazmat.primitives.ciphers.modes
import time:       637 |       3114 |                   cryptography.hazmat.primitives.ciphers.base
import time:       360 |       3805 |                 cryptography.hazmat.primitives.ciphers
import time:       408 |        408 |                 telegram._utils.strings
import time:       492 |        492 |                 telegram.error
import time:       735 |      15640 |               telegram._passport.credentials
import time:       558 |        558 |               telegram._utils.files
import time:       447 |      16644 |             telegram._files.file
import time:       628 |      18743 |           telegram._files.sticker
import time:       335 |        335 |                 telegram._inline
import time:       273 |        273 |                 telegram._copytextbutton
import time:       292 |        292 |                   telegram._games
import time:       430 |        721 |                 telegram._games.callbackgame
import time:       271 |        271 |                 telegram._loginurl
import time:       347 |        347 |                 telegram._switchinlinequerychosenchat
import time:       680 |       2625 |               telegram._inline.inlinekeyboardbutton
import time:       768 |       3392 |             telegram._user
import time:       437 |       3828 |           telegram._messageentity
import time:       335 |        335 |           telegram._utils.entities
import time:       442 |      23348 |         telegram._gifts
import time:       371 |        371 |           telegram._files.video
import time:       410 |        780 |         telegram._paidmedia
import time:       486 |        486 |         telegram._payment.stars.affiliateinfo
import time:       370 |        370 |         telegram._payment.stars.revenuewithdrawalstate
import time:       769 |      38791 |       telegram._payment.stars.transactionpartner
import time:       415 |      40096 |     telegram._payment.stars.startransactions
import time:       446 |        446 |     telegram._version
import time:       682 |        682 |         http
import time:       299 |        299 |         telegram._utils.logging
import time:       699 |        699 |             dataclasses
import time:       432 |        432 |                 mimetypes
import time:       678 |        678 |                   _uuid
import time:       500 |       1178 |                 uuid
